Genome,Phylum,Paper,Loaded,Complete,Chrs,Plasmids,Genes
Mycobacterium intracellulare ATCC 13950,Actinobacteria,,24-03-08,no,,,
Mycobacterium kansasii ATCC 12478,Actinobacteria,,21-04-09,no,,,
Mycobacterium leprae Br4923,Actinobacteria,,21-04-09,yes,1,0,2769
Mycobacterium leprae TN,Actinobacteria,yes,25-11-09,yes,1,0,2770
Mycobacterium marinum M,Actinobacteria,yes,21-04-09,yes,1,1,5570
Mycobacterium smegmatis str. MC2 155,Actinobacteria,,08-05-07,yes,1,0,6938
Mycobacterium sp. JLS,Actinobacteria,,08-05-07,yes,1,0,5845
Mycobacterium sp. KMS,Actinobacteria,,08-05-07,yes,1,2,6079
Mycobacterium sp. MCS,Actinobacteria,,22-11-06,yes,1,1,5698
Mycobacterium tuberculosis '98-R604 INH-RIF-EM',Actinobacteria,,21-04-09,no,,,
Mycobacterium tuberculosis 02_1987,Actinobacteria,,21-04-09,no,,,4315
Mycobacterium tuberculosis 94_M4241A,Actinobacteria,,21-04-09,no,,,4281
Mycobacterium tuberculosis C,Actinobacteria,,08-05-07,no,,,4039
Mycobacterium tuberculosis CDC1551,Actinobacteria,yes,08-05-07,yes,1,0,4293
Mycobacterium tuberculosis EAS054,Actinobacteria,,21-04-09,no,,,4148
Mycobacterium tuberculosis F11,Actinobacteria,,24-03-08,yes,1,0,3998
Mycobacterium tuberculosis GM 1503,Actinobacteria,,21-04-09,no,,,4118
Mycobacterium tuberculosis H37Ra,Actinobacteria,,24-03-08,yes,1,0,4084
Mycobacterium tuberculosis H37Rv,Actinobacteria,yes,08-05-07,yes,1,0,4047
Mycobacterium tuberculosis KZN 1435,Actinobacteria,,25-11-09,yes,1,0,4107
Mycobacterium tuberculosis KZN 4207,Actinobacteria,,24-03-08,no,,,
Mycobacterium tuberculosis KZN 605,Actinobacteria,,24-03-08,no,,,
Mycobacterium tuberculosis str. Haarlem,Actinobacteria,,08-05-07,no,,,4372
Mycobacterium tuberculosis T17,Actinobacteria,,21-04-09,no,,,4255
Mycobacterium tuberculosis T85,Actinobacteria,,21-04-09,no,,,4250
Mycobacterium tuberculosis T92,Actinobacteria,,21-04-09,no,,,4298
Mycobacterium ulcerans Agy99,Actinobacteria,yes,08-05-07,yes,1,1,5062
Mycobacterium vanbaalenii PYR-1,Actinobacteria,,08-05-07,yes,1,0,6136
Mycoplasma agalactiae,Tenericutes,,24-05-10,yes,1,0,867
Mycoplasma agalactiae PG2,Tenericutes,yes,24-03-08,yes,1,0,792
Mycoplasma arthritidis 158L3-1,Tenericutes,yes,21-04-09,yes,1,0,671
Mycoplasma capricolum subsp. capricolum ATCC 27343,Tenericutes,,18-01-06,yes,1,0,867
Mycoplasma conjunctivae HRC/581,Tenericutes,yes,24-05-10,yes,1,0,728
Mycoplasma crocodyli MP145,Tenericutes,,24-05-10,yes,1,0,763
Mycoplasma gallisepticum str. R(low),Tenericutes,yes,24-05-10,yes,1,0,816
Mycoplasma genitalium G37,Tenericutes,yes,08-05-07,yes,1,0,525
Mycoplasma hominis,Tenericutes,yes,24-05-10,yes,1,0,577
Mycoplasma hyopneumoniae 232,Tenericutes,yes,09-11-04,yes,1,0,729
Mycoplasma hyopneumoniae 7448,Tenericutes,yes,25-08-05,yes,1,0,705
Mycoplasma hyopneumoniae J,Tenericutes,yes,25-08-05,yes,1,0,701
Mycoplasma mobile 163K,Tenericutes,yes,29-06-04,yes,1,0,667
Mycoplasma mycoides subsp. mycoides LC str. GM12,Tenericutes,yes,24-03-08,no,,,927
Mycoplasma mycoides subsp. mycoides SC str. PG1,Tenericutes,yes,24-03-08,yes,1,0,1053
Mycoplasma penetrans HF-2,Tenericutes,yes,25-11-09,yes,1,0,1069
Mycoplasma pneumoniae M129,Tenericutes,yes,25-11-09,yes,1,0,733
Mycoplasma pulmonis UAB CTIP,Tenericutes,yes,25-11-09,yes,1,0,815
Mycoplasma synoviae 53,Tenericutes,yes,25-08-05,yes,1,0,715
Myxococcus xanthus DK 1622,Proteobacteria,,22-11-06,yes,1,0,7456
Nakamurella multipartita DSM 44233,Actinobacteria,,25-11-09,yes,1,0,5471
Natranaerobius thermophilus JW/NM-WN-LF,Firmicutes,,25-11-09,yes,1,2,3025
Neisseria cinerea ATCC 14685,Proteobacteria,,21-04-09,no,,,
Neisseria flavescens NRL30031/H210,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae 1291,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae 35/02,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae DGI18,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae FA 1090,Proteobacteria,,21-07-05,yes,1,0,2069
Neisseria gonorrhoeae FA19,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae FA6140,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae MS11,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae NCCP11945,Proteobacteria,yes,21-04-09,yes,1,1,2741
Neisseria gonorrhoeae PID1,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae PID18,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae PID24-1,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae PID332,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae SK-92-679,Proteobacteria,,21-04-09,no,,,
Neisseria gonorrhoeae SK-93-1035,Proteobacteria,,21-04-09,no,,,
Neisseria lactamica ATCC 23970,Proteobacteria,,21-04-09,no,,,
Neisseria meningitidis 053442,Proteobacteria,yes,24-03-08,yes,1,0,2122
Neisseria meningitidis alpha14,Proteobacteria,,25-11-09,yes,1,0,1996
Neisseria meningitidis FAM18,Proteobacteria,yes,08-05-07,yes,1,0,2046
Neisseria meningitidis MC58,Proteobacteria,yes,08-05-07,yes,1,0,2225
Neisseria meningitidis Z2491,Proteobacteria,yes,,yes,1,0,2065
Neisseria mucosa ATCC 25996,Proteobacteria,,21-04-09,no,,,
Neisseria subflava NJ9703,Proteobacteria,,21-04-09,no,,,
Neorickettsia risticii str. Illinois,Proteobacteria,yes,25-11-09,yes,1,0,930
Neorickettsia sennetsu str. Miyayama,Proteobacteria,yes,12-04-06,yes,1,0,973
"Niastella koreensis GR20-10, DSM 17620",Bacteroidetes,,16-11-10,no,,,7428
"Nitratifractor salsuginis E9I37-1, DSM 16511",Proteobacteria,,16-11-10,no,,,2175
Nitratiruptor sp. SB155-2,Proteobacteria,yes,24-03-08,yes,1,0,1911
Nitrobacter hamburgensis X14,Proteobacteria,,22-11-06,yes,1,3,4741
Nitrobacter sp. Nb-311A,Proteobacteria,,08-05-07,no,,,4306
Nitrobacter winogradskyi Nb-255,Proteobacteria,,18-01-06,yes,1,0,3245
Nitrococcus mobilis Nb-231,Proteobacteria,,08-05-07,no,,,3551
Nitrosococcus halophilus Nc4,Proteobacteria,,24-05-10,yes,1,1,4087
Nitrosococcus oceani ATCC 19707,Proteobacteria,,18-01-06,yes,1,1,3186
Nitrosomonas europaea ATCC 19718,Proteobacteria,yes,,yes,1,0,2620
Nitrosomonas eutropha C71,Proteobacteria,,22-11-06,yes,1,2,2687
Nitrosospira multiformis ATCC 25196,Proteobacteria,,18-01-06,yes,1,3,2876
Nocardia farcinica IFM 10152,Actinobacteria,yes,25-11-09,yes,1,2,6000
Nocardioides sp. JS614,Actinobacteria,,08-05-07,yes,1,1,5026
Nodularia spumigena CCY9414,Cyanobacteria,,08-05-07,no,,,4904
Nostoc punctiforme,Cyanobacteria,,25-11-09,yes,1,5,7168
Nostoc sp. PCC 7120,Cyanobacteria,yes,,yes,1,6,6213
Novosphingobium aromaticivorans DSM 12444,Proteobacteria,,24-03-08,yes,1,2,4031
Oceanibulbus indolifex HEL-45,Proteobacteria,,24-03-08,no,,,4196
Oceanicaulis alexandrii HTCC2633,Proteobacteria,,08-05-07,no,,,3077
Oceanicola batsensis HTCC2597,Proteobacteria,,08-05-07,no,,,4255
Oceanicola granulosus HTCC2516,Proteobacteria,,08-05-07,no,,,3850
"Oceanithermus profundus 506, DSM 14977",Deinococcus-Thermus,,16-11-10,no,,,2445
Oceanobacillus iheyensis HTE831,Firmicutes,yes,25-11-09,yes,1,0,3594
Oceanobacter sp. RED65,Proteobacteria,,08-05-07,no,,,3372
Oceanospirillum sp. MED92,Proteobacteria,,08-05-07,no,,,3735
Ochrobactrum anthropi ATCC 49188,Proteobacteria,,24-03-08,yes,2,4,4932
Octadecabacter antarcticus 307,Proteobacteria,,21-04-09,no,,,
"Odoribacter splanchnicus 1651/6, DSM 20712",Bacteroidetes,,16-11-10,no,,,3714
Oenococcus oeni ATCC BAA-1163,Firmicutes,,08-05-07,no,,,1678
Oenococcus oeni PSU-1,Firmicutes,,22-11-06,yes,1,0,1864
Oligotropha carboxidovorans OM5,Proteobacteria,yes,25-11-09,yes,1,1,3907
Onion yellows phytoplasma OY-M,Tenericutes,yes,24-05-10,yes,1,0,788
Opitutaceae bacterium TAV2,Verrucomicrobia,,24-03-08,no,,,4104
Opitutus terrae PB90-1,Verrucomicrobia,,21-04-09,yes,1,0,4711
Orientia tsutsugamushi Boryong,Proteobacteria,yes,24-03-08,yes,1,0,2216
Orientia tsutsugamushi str. Ikeda,Proteobacteria,yes,21-04-09,yes,1,0,2005
Ornithobacterium rhinotracheale DSM 15997,Bacteroidetes,,16-11-10,no,,,2342
Oxalobacter formigenes HOxBLS,Proteobacteria,,21-04-09,no,,,
Oxalobacter formigenes OXCC13,Proteobacteria,,21-04-09,no,,,
Paenibacillus larvae subsp. larvae BRL-230010,Firmicutes,,08-05-07,no,,,5019
Paenibacillus sp. JDR-2,Firmicutes,,25-11-09,yes,1,0,6414
"Paludibacter propionicigenes WB4, DSM 17365",Bacteroidetes,,16-11-10,no,,,3118
Pantoea ananatis LMG 20103,Proteobacteria,,24-05-10,yes,1,0,4341
Parabacteroides distasonis ATCC 8503,Bacteroidetes,yes,24-03-08,yes,1,0,3965
Parabacteroides johnsonii DSM 18315,Bacteroidetes,,21-04-09,no,,,4579
Parabacteroides merdae ATCC 43184,Bacteroidetes,,24-03-08,no,,,4469
Parachlamydia sp. UWE25,Chlamydiae,yes,29-06-04,yes,1,0,2075
Paracoccus denitrificans PD1222,Proteobacteria,,08-05-07,yes,2,1,5177
Parvibaculum lavamentivorans DS-1,Proteobacteria,,24-03-08,yes,1,0,3707
Parvularcula bermudensis HTCC2503,Proteobacteria,,08-05-07,no,,,2779
Pasteurella multocida subsp. multocida str. Pm70,Proteobacteria,yes,25-11-09,yes,1,0,2092
Pasteuria nishizawae str. North American,Firmicutes,,08-05-07,no,,,29
Pectobacterium carotovorum subsp. brasiliensis PBR1692,Proteobacteria,,21-04-09,no,,,
Pectobacterium carotovorum subsp. carotovorum PC1,Proteobacteria,,25-11-09,yes,1,0,4398
Pectobacterium carotovorum WPP14,Proteobacteria,,27-01-09,no,,,4301
Pectobacterium wasabiae WPP163,Proteobacteria,,25-11-09,yes,1,0,4717
Pediococcus pentosaceus ATCC 25745,Firmicutes,,22-11-06,yes,1,0,1847
Pedobacter heparinus DSM 2366,Bacteroidetes,,25-11-09,yes,1,0,4339
Pedobacter saltans DSM 12145,Bacteroidetes,,16-11-10,no,,,3921
Pedobacter sp. BAL39,Bacteroidetes,,24-03-08,no,,,5165
Pelobacter carbinolicus str. DSM 2380,Proteobacteria,,10-10-05,no,,,3450
Pelobacter propionicus DSM 2379,Proteobacteria,,08-05-07,yes,1,2,3913
Pelodictyon luteolum DSM 273,Chlorobi,,18-01-06,yes,1,0,2137
Pelodictyon phaeoclathratiforme BU-1,Chlorobi,,25-11-09,yes,1,0,2979
Pelotomaculum thermopropionicum SI,Firmicutes,,31-03-08,yes,1,0,2978
"Peptoniphilus asaccharolyticus UW 228, DSM 20463",Firmicutes,,16-11-10,no,,,2148
Peptostreptococcus micros ATCC 33270,Firmicutes,,24-03-08,no,,,1721
Persephonella marina EX-H1,Aquificae,yes,25-11-09,yes,1,1,2095
Petrotoga mobilis SJ95,Thermotogae,,24-03-08,yes,1,0,2015
Phaeobacter gallaeciensis 2.10,Proteobacteria,,24-03-08,no,,,4002
Phaeobacter gallaeciensis BS107,Proteobacteria,,24-03-08,no,,,4118
Phenylobacterium zucineum HLK1,Proteobacteria,yes,21-04-09,yes,1,1,3906
Photobacterium profundum 3TCK,Proteobacteria,,08-05-07,no,,,5715
Photobacterium profundum SS9,Proteobacteria,,09-11-04,yes,2,1,5702
Photobacterium sp. SKA34,Proteobacteria,,08-05-07,no,,,4726
Photorhabdus asymbiotica,Proteobacteria,yes,25-11-09,yes,1,1,4583
Photorhabdus luminescens subsp. laumondii TTO1,Proteobacteria,yes,29-06-04,yes,1,0,5012
Pirellula sp. 1,Planctomycetes,yes,29-06-04,yes,1,0,7405
Pirellula staleyi DSM 6068,Planctomycetes,,24-05-10,yes,1,0,4825
Planctomyces brasiliensis DSM 5305,Planctomycetes,,16-11-10,no,,,4865
Planctomyces maris DSM 8797,Planctomycetes,,24-03-08,no,,,6530
Plesiocystis pacifica SIR-1,Proteobacteria,,24-03-08,no,,,8526
Polaribacter irgensii 23-P,Bacteroidetes,,08-05-07,no,,,2599
Polaromonas,Proteobacteria,,02-11-04,no,,,5329
Polaromonas naphthalenivorans CJ2,Proteobacteria,,08-05-07,yes,1,8,5064
Polaromonas sp. JS666,Proteobacteria,,22-11-06,yes,1,2,5626
Polynucleobacter necessarius STIR1,Proteobacteria,,25-11-09,yes,1,0,1783
Polynucleobacter sp. QLW-P1DMWA-1,Proteobacteria,,25-11-09,yes,1,0,2132
"Pontibacter actiniarum KMM 6156, DSM 19842",Bacteroidetes,,16-11-10,no,,,4387
"Porphyromonas asaccharolytica VPI 4198, DSM 20707",Bacteroidetes,,16-11-10,no,,,1784
Porphyromonas gingivalis ATCC 33277,Bacteroidetes,yes,21-04-09,yes,1,0,2155
Porphyromonas gingivalis W83,Bacteroidetes,yes,29-06-04,yes,1,0,2015
"Prevotella bivia 653C, DSM 20514",Bacteroidetes,,16-11-10,no,,,2319
Prevotella copri DSM 18205,Bacteroidetes,,21-04-09,no,,,3356
"Prevotella multisaccharivorax PPPA20, DSM 17128",Bacteroidetes,,16-11-10,no,,,3013
Prevotella ruminicola 23,Bacteroidetes,,24-05-10,yes,1,0,2860
Prochlorococcus marinus sp. MED4,Cyanobacteria,yes,29-06-04,yes,1,0,2053
Prochlorococcus marinus sp. MIT9215,Cyanobacteria,,09-01-07,yes,1,0,2062
Prochlorococcus marinus str. AS9601,Cyanobacteria,,20-10-04,yes,1,0,1987
Prochlorococcus marinus str. MIT 9211,Cyanobacteria,,18-11-05,yes,1,0,1901
Prochlorococcus marinus str. MIT 9301,Cyanobacteria,,18-11-05,yes,1,0,1963
Prochlorococcus marinus str. MIT 9303,Cyanobacteria,,20-10-04,yes,1,0,3152
Prochlorococcus marinus str. MIT 9312,Cyanobacteria,,18-11-05,yes,1,0,2018
Prochlorococcus marinus str. MIT 9313,Cyanobacteria,yes,29-06-04,yes,1,0,2975
Prochlorococcus marinus str. MIT 9515,Cyanobacteria,,20-10-04,yes,1,0,1966
Prochlorococcus marinus str. NATL1A,Cyanobacteria,,20-10-04,yes,1,0,2255
Prochlorococcus marinus str. NATL2A,Cyanobacteria,,25-08-05,yes,1,0,2222
Prochlorococcus marinus str. SS120,Cyanobacteria,yes,29-06-04,yes,1,0,1971
Propionibacterium acnes KPA171202,Actinobacteria,yes,,yes,1,0,2368
Propionibacterium acnes SK137,Actinobacteria,,21-04-09,no,,,2500
Propionibacterium sp. D11,Fusobacteria,,21-04-09,no,,,
Prosthecochloris aestuarii DSM 271,Chlorobi,,25-11-09,yes,1,1,2455
Prosthecochloris vibrioformis DSM 265,Chlorobi,,24-03-08,yes,1,0,1824
Proteus mirabilis HI4320,Proteobacteria,,21-04-09,yes,1,1,3862
Providencia alcalifaciens DSM 30120,Proteobacteria,,21-04-09,no,,,4089
Providencia rettgeri DSM 1131,Proteobacteria,,21-04-09,no,,,4791
Providencia rustigianii DSM 4541,Proteobacteria,,21-04-09,no,,,3943
Providencia stuartii ATCC 25827,Proteobacteria,,24-03-08,no,,,
Pseudoalteromonas atlantica T6c,Proteobacteria,,24-03-08,yes,1,0,4397
Pseudoalteromonas haloplanktis TAC125,Proteobacteria,yes,18-01-06,yes,2,0,3621
Pseudoalteromonas tunicata D2,Proteobacteria,,08-05-07,no,,,4633
Pseudomonas aeruginosa 2192,Proteobacteria,,08-05-07,no,,,6157
Pseudomonas aeruginosa C3719,Proteobacteria,,08-05-07,no,,,5650
Pseudomonas aeruginosa LESB58,Proteobacteria,,21-04-09,yes,1,0,6061
Pseudomonas aeruginosa PA7,Proteobacteria,,25-11-09,yes,1,0,6369
Pseudomonas aeruginosa PACS2,Proteobacteria,,08-05-07,no,,,5676
Pseudomonas aeruginosa PAO1,Proteobacteria,yes,08-05-07,yes,1,0,5669
Pseudomonas aeruginosa UCBPP-PA14,Proteobacteria,,22-11-06,yes,1,0,5972
Pseudomonas entomophila L48,Proteobacteria,,22-11-06,yes,1,0,5275
Pseudomonas fluorescens Pf-5,Proteobacteria,yes,25-08-05,yes,1,0,6233
Pseudomonas fluorescens Pf0-1,Proteobacteria,yes,24-05-10,yes,1,0,5829
Pseudomonas fluorescens SBW25,Proteobacteria,yes,25-11-09,yes,1,1,6584
Pseudomonas mendocina ymp,Proteobacteria,,24-03-08,yes,1,0,4704
Pseudomonas putida F1,Proteobacteria,,25-11-09,yes,1,0,5404
Pseudomonas putida GB-1,Proteobacteria,,25-11-09,yes,1,0,5530
Pseudomonas putida KT2440,Proteobacteria,yes,,yes,1,0,5513
Pseudomonas putida W619,Proteobacteria,,25-11-09,yes,1,0,5309
Pseudomonas stutzeri A1501,Proteobacteria,,24-03-08,yes,1,0,4210
Pseudomonas syringae pv. oryzae str. 1_6,Proteobacteria,yes,21-04-09,no,,,
Pseudomonas syringae pv. phaseolicola 1448A,Proteobacteria,yes,25-08-05,yes,1,2,5437
Pseudomonas syringae pv. syringae B728a,Proteobacteria,yes,25-08-05,yes,1,0,5220
Pseudomonas syringae pv. tabaci ATCC 11528,Proteobacteria,,21-04-09,no,,,
Pseudomonas syringae pv. tomato str. DC3000,Proteobacteria,yes,08-05-07,yes,1,2,5840
Pseudomonas syringae pv. tomato T1,Proteobacteria,,21-04-09,no,,,5783
Pseudovibrio sp. JE062,Proteobacteria,,21-04-09,no,,,
Psychrobacter arcticum 273-4,Proteobacteria,,25-08-05,yes,1,0,2211
Psychrobacter cryohalolentis K5,Proteobacteria,,22-11-06,yes,1,1,2581
Psychrobacter sp. PRwf-1,Proteobacteria,,25-11-09,yes,1,2,2477
Psychroflexus torquis ATCC 700755,Bacteroidetes,,08-05-07,no,,,6831
Psychromonas ingrahamii 37,Proteobacteria,,08-05-07,yes,1,0,3863
Psychromonas sp. CNPT3,Proteobacteria,,08-05-07,no,,,2826
Ralstonia eutropha H16,Proteobacteria,,08-05-07,yes,2,1,6702
Ralstonia eutropha JMP134,Proteobacteria,,08-05-07,yes,2,3,6704
Ralstonia metallidurans CH34,Proteobacteria,,24-05-10,yes,1,5,6912
Ralstonia pickettii 12D,Proteobacteria,,25-11-09,yes,2,3,5522
Ralstonia pickettii 12J,Proteobacteria,,25-11-09,yes,2,1,5101
Ralstonia solanacearum GMI1000,Proteobacteria,yes,25-11-09,yes,1,1,5187
Ralstonia solanacearum IPO1609,Proteobacteria,,24-05-10,no,,,4539
Ralstonia solanacearum MolK2,Proteobacteria,,24-05-10,no,,,5018
Ralstonia solanacearum UW551,Proteobacteria,,08-05-07,no,,,4418
Reinekea sp. MED297,Proteobacteria,,08-05-07,no,,,4301
Renibacterium salmoninarum ATCC 33209,Actinobacteria,,24-03-08,yes,1,0,3558
Rhizobium etli 8C-3,Proteobacteria,,21-04-09,no,,,5131
Rhizobium etli Brasil 5,Proteobacteria,,21-04-09,no,,,5087
Rhizobium etli CFN 42,Proteobacteria,yes,25-11-09,yes,1,6,6093
Rhizobium etli CIAT 652,Proteobacteria,,21-04-09,yes,1,3,6171
Rhizobium etli CIAT 894,Proteobacteria,,21-04-09,no,,,5541
Rhizobium etli GR56,Proteobacteria,,21-04-09,no,,,5439
Rhizobium etli IE4771,Proteobacteria,,21-04-09,no,,,5761
Rhizobium etli Kim 5,Proteobacteria,,21-04-09,no,,,6005
Rhizobium leguminosarum bv. trifolii WSM1325,Proteobacteria,,25-11-09,yes,1,5,7295
Rhizobium leguminosarum bv. trifolii WSM2304,Proteobacteria,,25-11-09,yes,1,4,6647
Rhizobium leguminosarum bv. viciae 3841,Proteobacteria,,22-11-06,yes,1,6,7348
Rhizobium sp. NGR234,Proteobacteria,yes,24-05-10,yes,1,2,6473
Rhodobacter sphaeroides 2.4.1,Proteobacteria,,08-05-07,no,,,4370
Rhodobacter sphaeroides ATCC 17025,Proteobacteria,,24-03-08,yes,1,5,4466
Rhodobacter sphaeroides ATCC 17029,Proteobacteria,,08-05-07,yes,2,1,4255
Rhodobacter sphaeroides KD131,Proteobacteria,yes,21-04-09,yes,2,2,4638
Rhodobacteraceae bacterium KLH11,Proteobacteria,,21-04-09,no,,,
Rhodobacterales bacterium HTCC2083,Proteobacteria,,21-04-09,no,,,
Rhodobacterales bacterium HTCC2150,Proteobacteria,,24-03-08,no,,,3703
Rhodobacterales bacterium HTCC2255,Proteobacteria,,24-03-08,no,,,4584
Rhodobacterales bacterium HTCC2654,Proteobacteria,,08-05-07,no,,,4757
Rhodobacterales bacterium Y4I,Proteobacteria,,21-04-09,no,,,
Rhodococcus erythropolis PR4,Actinobacteria,yes,25-11-09,yes,1,3,6507
Rhodococcus opacus B4,Actinobacteria,,24-05-10,yes,1,5,8259
Rhodococcus sp. RHA1,Actinobacteria,,22-11-06,yes,1,3,9221
Rhodoferax ferrireducens DSM 15236,Proteobacteria,,12-04-06,yes,1,1,4555
Rhodopseudomonas palustris BisA53,Proteobacteria,,22-11-06,yes,1,0,4972
Rhodopseudomonas palustris BisB18,Proteobacteria,,12-04-06,yes,1,0,5016
Rhodopseudomonas palustris BisB5,Proteobacteria,,22-11-06,yes,1,0,4492
Rhodopseudomonas palustris CGA009,Proteobacteria,yes,08-05-07,yes,1,1,4898
Rhodopseudomonas palustris HaA2,Proteobacteria,,12-04-06,yes,1,0,4772
Rhodopseudomonas palustris TIE-1,Proteobacteria,,25-11-09,yes,1,0,5383
Rhodospirillum centenum SW,Proteobacteria,,24-05-10,yes,1,0,4102
Rhodospirillum rubrum ATCC 11170,Proteobacteria,,18-01-06,yes,1,1,3920
Rhodothermus marinus DSM 4252,Bacteroidetes,,06-04-10,yes,1,1,2965
Rickettsia africae ESF-5,Proteobacteria,,25-11-09,yes,1,1,1167
Rickettsia akari str. Hartford,Proteobacteria,,24-03-08,yes,1,0,1294
Rickettsia bellii OSU 85-389,Proteobacteria,,24-03-08,yes,1,0,1512
Rickettsia bellii RML369-C,Proteobacteria,yes,12-04-06,yes,1,0,1469
Rickettsia canadensis str. McKiel,Proteobacteria,,24-03-08,yes,1,0,1129
Rickettsia conorii str. Malish 7,Proteobacteria,yes,25-11-09,yes,1,0,1414
Rickettsia felis URRWXCal2,Proteobacteria,yes,25-08-05,yes,1,2,1551
Rickettsia massiliae MTU5,Proteobacteria,,25-11-09,yes,1,1,1436
Rickettsia peacockii str. Rustic,Proteobacteria,,25-11-09,yes,1,1,984
Rickettsia prowazekii str. Madrid E,Proteobacteria,yes,25-11-09,yes,1,0,872
Rickettsia rickettsii,Proteobacteria,,08-05-07,no,,,1311
Rickettsia rickettsii str. 'Sheila Smith',Proteobacteria,,24-03-08,yes,1,0,1381
Rickettsia rickettsii str. Iowa,Proteobacteria,yes,24-03-08,yes,1,0,1490
Rickettsia sibirica 246,Proteobacteria,,08-05-07,no,,,1234
Rickettsia typhi str. wilmington,Proteobacteria,yes,,yes,1,0,919
Rickettsiella grylli,Proteobacteria,,24-03-08,no,,,1557
Riemerella anatipestifer DSM 15868,Bacteroidetes,,16-11-10,no,,,2044
"Rikenella microfusus Q-1, DSM 15922",Bacteroidetes,,16-11-10,no,,,2387
Robiginitalea biformata HTCC2501,Bacteroidetes,,25-11-09,yes,1,0,3259
Roseburia intestinalis L1-82,Firmicutes,,21-04-09,no,,,4869
Roseiflexus castenholzii DSM 13941,Chloroflexi,,24-03-08,yes,1,0,4509
Roseiflexus sp. RS-1,Chloroflexi,,25-11-09,yes,1,0,4682
Roseobacter denitrificans OCh 114,Proteobacteria,,22-11-06,yes,1,4,4191
Roseobacter litoralis Och 149,Proteobacteria,,24-03-08,no,,,4785
Roseobacter sp. AzwK-3b,Proteobacteria,,24-03-08,no,,,4186
Roseobacter sp. CCS2,Proteobacteria,,24-03-08,no,,,3696
Roseobacter sp. GAI101,Proteobacteria,,21-04-09,no,,,
Roseobacter sp. MED193,Proteobacteria,,08-05-07,no,,,4598
Roseobacter sp. SK209-2-6,Proteobacteria,,24-03-08,no,,,4598
Roseovarius nubinhibens ISM,Proteobacteria,,08-05-07,no,,,3597
Roseovarius sp. 217,Proteobacteria,,08-05-07,no,,,4817
Roseovarius sp. HTCC2601,Proteobacteria,,08-05-07,no,,,5509
Roseovarius sp. TM1035,Proteobacteria,,24-03-08,no,,,4150
Rothia mucilaginosa DY-18,Actinobacteria,,24-05-10,yes,1,0,1965
Rubrobacter radiotolerans DSM 5868,Actinobacteria,,16-11-10,no,,,3316
Rubrobacter xylanophilus DSM 9941,Actinobacteria,,22-11-06,yes,1,0,3281
Ruegeria sp. R11,Proteobacteria,,21-04-09,no,,,
Ruminococcus gnavus ATCC 29149,Firmicutes,,24-03-08,no,,,3974
Ruminococcus lactaris ATCC 29176,Firmicutes,,21-04-09,no,,,2817
"Runella slithyformis LSU4, DSM 19594",Bacteroidetes,,16-11-10,no,,,6137
Saccharomonospora viridis DSM 43017,Actinobacteria,,25-11-09,yes,1,0,3964
Saccharophagus degradans 2-40,Proteobacteria,,24-03-08,yes,1,0,4067
Saccharopolyspora erythraea NRRL 2338,Actinobacteria,yes,24-03-08,yes,1,0,7264
Sagittula stellata E-37,Proteobacteria,,24-03-08,no,,,5112
Salinibacter ruber,Bacteroidetes,,24-05-10,yes,1,3,3232
Salinibacter ruber DSM 13855,Bacteroidetes,yes,18-01-06,yes,1,1,2898
Salinispora arenicola CNS205,Actinobacteria,,24-03-08,yes,1,0,5172
Salinispora tropica CNB-440,Actinobacteria,,25-11-09,yes,1,0,4654
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:--",Proteobacteria,,24-03-08,yes,1,0,4690
"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. CVM23701",Proteobacteria,,21-04-09,no,,,5097
Salmonella enterica subsp. enterica serovar Agona str. SL483,Proteobacteria,,25-11-09,yes,1,1,4937
Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,Proteobacteria,yes,25-08-05,yes,1,2,4895
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,Proteobacteria,,25-11-09,yes,1,1,5078
Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,Proteobacteria,yes,21-04-09,yes,1,0,4423
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,Proteobacteria,,21-04-09,yes,1,0,4364
Salmonella enterica subsp. enterica serovar Hadar str. RI_05P066,Proteobacteria,,24-03-08,no,,,4907
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,Proteobacteria,,25-11-09,yes,1,2,5111
Salmonella enterica subsp. enterica serovar Heidelberg str. SL486,Proteobacteria,,24-03-08,no,,,4826
Salmonella enterica subsp. enterica serovar Javiana str. GA_MM04042433,Proteobacteria,,24-03-08,no,,,5097
